Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Alex Barger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 6:20:51 PM,1768760451,Fastball,Y,7.19,39.9,82.92,2345.39,2284,97.38,1:04,1,17.5,22.1,-,-,-,-,2.38,0.13,5.74,1.22,13.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
2,Sun Jan 18 2026 6:20:29 PM,1768760429,Fastball,N,-14.12,32.65,84.16,2246.5,2090.1,93.04,1:38,1,17.7,20.1,-,-,-,-,4.2,-0.54,5.66,1.47,21.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
3,Sun Jan 18 2026 6:20:07 PM,1768760407,CurveBall,N,-13.17,17.66,75.32,2479.26,1834,73.98,7:20,1,-1.1,-12.2,-,-,-,-,1.27,0.48,5.79,1.22,42.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
4,Sun Jan 18 2026 6:19:54 PM,1768760394,CurveBall,N,-0.59,17.13,75.5,2545.43,1667.5,65.51,6:58,1,-3.7,-9.8,-,-,-,-,0.43,0.65,5.78,1.22,49.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
5,Sun Jan 18 2026 6:19:26 PM,1768760366,Cutter,N,-22.92,13.06,76.44,2343.17,1022.6,43.64,10:42,0.5,21.6,-3.1,-,-,-,-,3.07,-1.64,5.65,1.52,64.12,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
6,Sun Jan 18 2026 6:19:08 PM,1768760348,Cutter,Y,1.02,35.25,77.71,2536.86,665.1,26.22,6:30,1,4,-0.5,-,-,-,-,1.39,1.73,5.48,1.57,74.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
7,Sun Jan 18 2026 6:18:40 PM,1768760320,Cutter,N,6.1,9.94,78.35,1569.75,1506.5,95.97,1:44,1,12.6,22.4,-,-,-,-,2.52,-1.5,5.76,1.25,16.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
8,Sun Jan 18 2026 6:18:19 PM,1768760299,ChangeUp,N,18.6,28.7,76.37,1844.06,1551.3,84.13,2:18,1,8.3,20.3,-,-,-,-,1.68,0.73,5.56,1.6,32.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
9,Sun Jan 18 2026 6:18:01 PM,1768760281,Fastball,N,10.04,42.69,85.16,1924.38,1832.4,95.22,12:44,1,19.1,19.3,-,-,-,-,2.04,0.05,5.73,1.33,17.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
10,Sun Jan 18 2026 6:17:42 PM,1768760262,Fastball,N,11.91,44.93,84.28,2301.16,2224.6,96.67,1:48,1,18.8,23,-,-,-,-,2.19,0.47,5.63,1.34,14.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,AlexBarger,high_intent,-
