Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Andrew Ayers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 4:12:04 PM,1768752724,Fastball,N,3.41,15.35,74.99,1857.51,1092.5,58.82,7:44,1,0.2,-18.4,-,-,-,-,-5.79,2.11,3.51,-4.04,-53.97,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 4:11:50 PM,1768752710,Slider,N,38.21,24.04,70.56,2482.42,1378,55.51,3:38,1,3.4,9.9,-,-,-,-,-6.28,2.74,3.72,-4.04,-56.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 4:11:36 PM,1768752696,Slider,N,34.48,17.47,70.09,2433.85,1372.5,56.39,2:36,1,10.6,11.4,-,-,-,-,-5.8,2.27,3.66,-4.14,-55.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 4:11:17 PM,1768752677,Fastball,N,-15.89,18.42,74.51,1951.39,1096.9,56.21,7:58,1,-6.8,-17.3,-,-,-,-,-4.16,2.59,3.46,-3.74,-55.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 4:11:04 PM,1768752664,Fastball,N,26.8,37.58,74.32,1752.04,976.5,55.74,7:22,1,-0.5,-20.1,-,-,-,-,-7.62,4.39,3.36,-3.73,-56.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 4:10:34 PM,1768752634,ChangeUp,N,23.79,32.07,68.96,1617.63,1542.3,95.34,7:22,1,-6.5,-24.5,-,-,-,-,-7.73,5.3,3.53,-3.93,-17.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 4:10:19 PM,1768752619,ChangeUp,N,-26.04,12.52,69.29,1489.52,1349.6,90.6,7:40,1,-2.1,-25.5,-,-,-,-,-3.93,2.12,3.81,-3.7,-25.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 4:10:04 PM,1768752604,Fastball,N,-10.02,30.04,77.06,1823.84,1039.2,56.98,8:02,1,-3.2,-18.2,-,-,-,-,-4.52,3.55,3.53,-3.99,-55.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 4:09:48 PM,1768752588,Slider,Y,9.38,18.03,71.09,2517.9,1454.3,57.76,3:16,1,0.8,12.3,-,-,-,-,-3.66,3.05,4.14,-4.11,-54.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 4:09:22 PM,1768752562,Slider,N,40.28,28.37,71.12,2680.58,2665.2,99.42,12:30,0.5,-0.6,16.4,-,-,-,-,-5.82,3.52,4.09,-4.17,6.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sun Jan 18 2026 4:09:08 PM,1768752548,Slider,N,20.47,-8.38,71.19,2584.22,1500.7,58.07,3:22,1,-8.7,8.3,-,-,-,-,-4.93,0.8,4.33,-4.03,-54.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sun Jan 18 2026 4:08:52 PM,1768752532,Slider,N,30.83,6.9,70.77,2366.09,1262.4,53.35,3:16,1,-3.3,11,-,-,-,-,-5.48,1.35,4.13,-3.63,-57.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sun Jan 18 2026 4:08:37 PM,1768752517,Slider,N,40.33,33.04,71.08,2474.19,1618.3,65.41,3:14,1,4.4,12.9,-,-,-,-,-6.23,3.74,3.75,-4.33,-49.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sun Jan 18 2026 4:08:16 PM,1768752496,Slider,N,37.56,12.93,71.11,2484.53,1275.4,51.33,3:12,1,-4.4,9.4,-,-,-,-,-6.32,2.16,4,-4.14,-59.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
