Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Conor Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 3:53:01 PM,1768751581,Fastball,N,15.99,21.05,79.14,1828.5,1426.8,78.03,9:26,1,27.8,-14,-,-,-,-,-4.84,-1.86,5.52,-2.51,-38.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 3:52:43 PM,1768751563,ChangeUp,N,-39.37,32.42,73.05,1073.46,739.9,68.93,9:46,0.5,2.9,-23,-,-,-,-,-1.28,2.57,5.28,-2.72,-46.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 3:52:26 PM,1768751546,Fastball,N,13.98,17.99,78.88,1774.29,1636.9,92.26,10:14,1,-,-15.9,-,-,-,-,-4.82,-2.41,5.57,-2.58,-22.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 3:52:11 PM,1768751531,Slider,N,6.94,8.24,68.57,1811.62,1078.8,59.55,3:12,1,4.6,6.5,-,-,-,-,-2.54,-0.66,5.59,-2.32,-53.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 3:51:59 PM,1768751519,Slider,N,29.72,-4.3,69.06,1841.17,1166.7,63.37,3:56,1,4.3,6.9,-,-,-,-,-4.35,-2.69,5.41,-2.14,-50.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 3:51:26 PM,1768751486,ChangeUp,N,-18.77,10.38,71.83,1208.83,1031.6,85.34,8:48,1,-8.2,-16.7,-,-,-,-,-2.44,1.29,5.35,-2.66,-31.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 3:51:10 PM,1768751470,ChangeUp,N,2.68,7.44,73.03,1096.12,677.9,61.84,9:04,1,-3.7,-18.8,-,-,-,-,-4.28,1.04,5.34,-2.74,-51.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 3:50:53 PM,1768751453,Slider,N,41.13,1.43,69.37,1872.49,1065.5,56.9,3:26,1,4,11.6,-,-,-,-,-4.76,-0.37,5.41,-2.53,-55.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 3:50:36 PM,1768751436,Fastball,Y,-2.62,20.04,76.98,1779.03,1659.3,93.27,10:10,1,8.6,-14,-,-,-,-,-3.45,-1.07,5.3,-2.17,-21.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 3:50:21 PM,1768751421,Slider,N,8.51,13.61,68.23,1768.93,1383.2,78.19,3:02,1,3.1,5,-,-,-,-,-2.91,0.02,5.45,-2.4,-38.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
