Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,David James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 3:05:38 PM,1768748738,Fastball,N,-11.25,32.43,90.95,2298.43,1803.1,78.45,1:00,0.5,23.3,7.9,-,-,-,-,2.7,-1.81,5.87,1.2,-38.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 3:05:20 PM,1768748720,Fastball,Y,8.6,34.33,90.27,2333.22,2113.3,90.57,12:38,1,23,10.2,-,-,-,-,1.25,-1.68,5.93,1.16,25.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 3:04:58 PM,1768748698,Slider,Y,-2.09,21.77,80.31,2363.76,2338.9,98.95,8:24,1,-9.3,-9.2,-,-,-,-,0.49,0.97,5.85,1.09,-8.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 3:04:39 PM,1768748679,Slider,N,-6.85,10.16,83.04,2362.78,940.9,39.82,5:28,1,5,-2,-,-,-,-,1.38,-1.61,6.06,1.02,66.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 3:04:16 PM,1768748656,Slider,Y,-8.02,20.88,85.7,2349.32,1402,59.68,9:54,1,8.2,-4.7,-,-,-,-,1.28,-1.09,5.87,1.03,53.36,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 3:03:51 PM,1768748631,Fastball,Y,8.91,26.18,90.46,2404.41,2198,91.41,12:24,1,23.9,9.2,-,-,-,-,1.11,-2.55,6.04,1.11,23.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 3:03:27 PM,1768748607,Fastball,N,13.07,43.1,89.5,2265.43,2066.3,91.21,12:06,1,23,10.4,-,-,-,-,0.86,-0.98,6,1.11,24.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 3:03:05 PM,1768748585,Fastball,Y,-7.68,22.2,90.19,2424.52,1084.3,44.72,2:12,0.5,25.3,7.2,-,-,-,-,2.4,-2.93,6.07,1.26,63.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 3:02:42 PM,1768748562,Fastball,Y,-5.82,24.36,90.51,2365.22,2143.9,90.64,12:04,1,27.7,6.6,-,-,-,-,2,-3.06,6.08,1.03,24.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 3:02:19 PM,1768748539,CurveBall,N,-15.77,10.68,79.54,2349.36,2343.4,99.75,8:20,0.5,-12.4,-11.4,-,-,-,-,1.32,0.39,5.92,1.01,-4.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
