Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Derek Duval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 3:25:53 PM,1768749953,Fastball,Y,6.94,25.7,86.42,2010.53,1951.4,97.06,12:58,1,25.9,16.1,-,-,-,-,1.2,-2.22,5.87,0.47,13.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 3:25:38 PM,1768749938,Slider,N,26.16,22.19,78.2,1474.02,1453.9,98.63,1:50,1,-,31.7,-,-,-,-,1.06,-3,6.07,0.65,9.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 3:25:23 PM,1768749923,Fastball,N,12.5,23.92,85.23,1975.55,1861.1,94.2,12:48,1,25.1,16.6,-,-,-,-,0.85,-2.2,5.88,0.54,19.6,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 3:25:12 PM,1768749912,ChangeUp,N,16.47,-8.38,78.33,1605.95,1482.6,92.32,2:18,1,10.1,25.1,-,-,-,-,1.34,-2.58,5.59,0.66,22.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 3:24:54 PM,1768749894,ChangeUp,N,22.42,-0.49,78.95,1760.05,1753.8,99.64,1:52,1,17,26.6,-,-,-,-,0.82,-3.36,6.07,0.51,-4.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 3:24:42 PM,1768749882,ChangeUp,N,34.07,5.84,78.3,1702.83,1701.6,99.93,1:50,1,20.3,27.9,-,-,-,-,0.32,-2.65,5.88,0.84,2.16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 3:24:27 PM,1768749867,Slider,N,-11.45,28.22,74.05,2269.81,1832.5,80.73,7:46,1,-4.3,-22.3,-,-,-,-,-0.19,2.1,5.63,0.71,36.16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 3:24:05 PM,1768749845,Fastball,Y,0.69,21.57,86.38,1997.73,1894.6,94.84,12:40,1,28.6,12,-,-,-,-,1.34,-2.94,5.93,0.45,18.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 3:23:39 PM,1768749819,Fastball,N,11.92,9.36,85.16,1875.06,1758.2,93.77,1:18,1,27.9,19,-,-,-,-,1.27,-3.53,5.77,0.74,20.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 3:23:25 PM,1768749805,Knuckleball,N,3.67,53.92,75.67,-,-,-,-,0,11.9,10.1,-,-,-,-,1.09,2.38,5.92,0.57,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sun Jan 18 2026 3:23:06 PM,1768749786,ChangeUp,Y,1.41,20.78,78.44,1578.73,1554.7,98.47,2:06,1,20.3,16.6,-,-,-,-,1.78,-1.25,5.66,0.57,10.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sun Jan 18 2026 3:22:47 PM,1768749767,Slider,N,-0.45,16.4,74.35,2164.79,1785.1,82.46,7:42,1,-1.7,-18.7,-,-,-,-,-0.47,0.88,5.62,1.02,34.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sun Jan 18 2026 3:22:32 PM,1768749752,Fastball,N,-3.45,3.25,86.89,1909.71,1794.5,93.97,12:42,1,-,10.1,-,-,-,-,1.5,-5.8,6.24,0.44,20,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sun Jan 18 2026 3:22:18 PM,1768749738,CurveBall,Y,0.87,28.2,69.91,1701.27,1663.1,97.75,6:38,1,-13.2,-13.6,-,-,-,-,-0.65,3.09,5.9,0.53,12.17,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sun Jan 18 2026 3:22:00 PM,1768749720,Knuckleball,N,33.43,30.05,77.86,1166.28,990.3,84.91,3:32,1,-11.8,3.2,-,-,-,-,-1.5,2.59,5.52,0.97,31.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sun Jan 18 2026 3:21:48 PM,1768749708,Slider,Y,-2.93,25.01,78.28,-,-,-,-,0,-3.2,-15.7,-,-,-,-,-0.28,1.19,5.6,0.77,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Sun Jan 18 2026 3:21:36 PM,1768749696,Slider,N,-12.39,17.34,74.37,2264.73,1671.2,73.79,7:28,1,4.7,-19.6,-,-,-,-,0.16,0.18,5.87,0.77,42.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
18,Sun Jan 18 2026 3:21:21 PM,1768749681,Fastball,Y,0.49,30.94,85.66,1953.98,1849.1,94.63,12:48,1,26.1,12.8,-,-,-,-,1.67,-1.72,5.79,0.69,18.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
19,Sun Jan 18 2026 3:21:08 PM,1768749668,ChangeUp,N,8.61,11.68,78.69,1736.77,1718.4,98.94,1:56,1,23.1,23.6,-,-,-,-,1.83,-2.49,5.98,0.65,8.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
20,Sun Jan 18 2026 3:20:50 PM,1768749650,ChangeUp,N,1.12,16.73,79.25,1433.11,1368.7,95.51,2:22,1,29.3,19.5,-,-,-,-,2.1,-2.67,5.99,0.65,17.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
21,Sun Jan 18 2026 3:20:34 PM,1768749634,CurveBall,Y,0.24,24.34,68.66,1867.6,1844.7,98.77,6:40,1,-17.8,-12,-,-,-,-,-0.6,3.37,5.99,0.4,8.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
