Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Eamon Giblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 7:51:44 PM,1768765904,Fastball,Y,-8.87,25.56,85.12,2092.48,1841.6,88.01,1:08,1,21.3,9.7,-,-,-,-,3.53,-2.29,6.18,2.04,28.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 7:51:21 PM,1768765881,Fastball,N,-12.07,25.93,86.61,2234.17,2012.9,90.1,12:04,1,26.3,7.7,-,-,-,-,3.36,-2.64,6.23,1.8,25.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 7:51:03 PM,1768765863,Fastball,Y,-9.15,23.26,86.84,2181.23,1949.6,89.38,12:42,1,19.8,11.7,-,-,-,-,3.67,-2.41,6.19,2.01,26.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 7:50:43 PM,1768765843,Fastball,Y,9.09,37.59,85.75,2022.24,1816.5,89.83,12:46,1,19.1,17.2,-,-,-,-,2.82,-0.94,6.15,2.19,26.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 7:50:27 PM,1768765827,Slider,N,-5.42,6.33,79.24,1115.25,420.6,37.71,1:36,1,13.6,-3.7,-,-,-,-,2.13,-2.57,6.18,2.01,67.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 7:50:07 PM,1768765807,Slider,N,-34.19,24.52,80.43,2129.6,1181.1,55.46,9:50,1,10.7,-13.6,-,-,-,-,3.66,-0.94,6.15,2,56.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 7:49:45 PM,1768765785,ChangeUp,N,16.46,-16.01,78.88,1376.37,1210.7,87.97,1:14,1,7.2,21.3,-,-,-,-,3.02,-4.4,5.68,2.39,28.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 7:49:27 PM,1768765767,ChangeUp,Y,2.41,22.32,79.73,1435.64,1260.6,87.81,1:44,1,23.5,13.8,-,-,-,-,3.32,-1.68,5.8,2.45,28.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 7:48:55 PM,1768765735,Fastball,N,-10.88,48.58,84.15,2241.89,1969.5,87.85,12:08,0.5,11.3,11,-,-,-,-,3.99,0.21,6.03,1.88,28.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 7:48:20 PM,1768765700,Fastball,Y,-7.71,21.13,84.33,2003.22,1755.6,87.64,12:16,1,19.3,16.2,-,-,-,-,3.97,-2.35,6.16,2.03,28.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
