Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Enger Paulino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 6:50:52 PM,1768762252,Fastball,N,-19.89,34.14,91.93,2733.37,2595.9,94.97,1:08,0.5,19.9,-0.2,-,-,-,-,2.31,-1.48,5.82,0.71,18.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
2,Sun Jan 18 2026 6:50:35 PM,1768762235,Splitter,N,-8.97,1.44,89.45,2165.56,2051.5,94.73,12:58,0.5,21.1,16.7,-,-,-,-,2.84,-3.89,6.04,0.82,18.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
3,Sun Jan 18 2026 6:50:15 PM,1768762215,Fastball,N,-14.27,-21.59,89.64,2074.75,1116.5,53.81,12:54,0.5,-,12.9,-,-,-,-,3.02,-6.25,6,0.89,57.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
4,Sun Jan 18 2026 6:50:01 PM,1768762201,Fastball,Y,5.32,31.92,91.79,2816.24,2538.2,90.13,12:08,1,23.9,4.5,-,-,-,-,0.72,-2.03,6.01,0.81,25.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
5,Sun Jan 18 2026 6:49:20 PM,1768762160,Fastball,N,-3.44,48.48,90.84,2737.37,2408.7,87.99,12:30,1,21.6,0.8,-,-,-,-,1.19,-0.29,5.89,0.87,28.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
6,Sun Jan 18 2026 6:49:02 PM,1768762142,Slider,N,-16.52,13.9,81.73,2573.6,1583.1,61.51,9:46,1,-,-12.4,-,-,-,-,1.51,-3.24,5.88,1.24,52.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
7,Sun Jan 18 2026 6:48:42 PM,1768762122,Slider,N,-41.24,5.14,83.94,2633.57,1483.3,56.32,9:26,1,18.1,-16.6,-,-,-,-,3,-3.02,5.81,1.09,55.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
8,Sun Jan 18 2026 6:48:27 PM,1768762107,Fastball,N,-15.99,41.84,90.21,2625.27,2303.8,87.76,12:38,1,19.1,-0.8,-,-,-,-,2.01,-0.62,5.81,0.77,28.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
9,Sun Jan 18 2026 6:48:06 PM,1768762086,Fastball,N,11.74,13.59,90.03,2545.47,2239.1,87.97,12:34,1,28.8,7.3,-,-,-,-,0.59,-3.84,6.01,0.98,28.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
10,Sun Jan 18 2026 6:47:51 PM,1768762071,Slider,N,-15.83,19.91,85.64,2463.42,966.1,39.22,9:06,1,29.9,-8,-,-,-,-,1.35,-3.11,6.04,0.75,66.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
11,Sun Jan 18 2026 6:47:26 PM,1768762046,Slider,N,-38.82,2.5,85.49,2395.17,455.2,19,9:08,1,27.4,-22.1,-,-,-,-,1.91,-4.84,6.31,0.63,79.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
12,Sun Jan 18 2026 6:47:08 PM,1768762028,Fastball,N,-10.29,30.05,90.56,2795.88,2463.2,88.1,12:28,1,23.6,0.4,-,-,-,-,1.7,-2.12,5.99,0.86,28.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
13,Sun Jan 18 2026 6:46:42 PM,1768762002,Fastball,N,-3.86,56.31,91.21,2835.34,2503,88.28,12:26,1,16.9,2.5,-,-,-,-,1.47,0.96,5.63,0.98,28.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
14,Sun Jan 18 2026 6:46:26 PM,1768761986,Fastball,N,17.37,17.49,91.28,2186.04,2076.4,94.98,12:56,1,-,24.7,-,-,-,-,1.58,-4.33,6.12,1.06,18.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
15,Sun Jan 18 2026 6:46:10 PM,1768761970,Slider,N,-11.67,9.43,80.9,2609.33,1627.9,62.39,9:46,1,20.9,-10.3,-,-,-,-,1.29,-2.4,5.79,1.24,51.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
16,Sun Jan 18 2026 6:45:57 PM,1768761957,Slider,Y,-1.31,26.41,81.98,2823.4,1587.4,56.22,9:50,1,9.3,-15,-,-,-,-,-0.02,-0.24,5.76,1.12,55.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
17,Sun Jan 18 2026 6:45:42 PM,1768761942,Fastball,Y,-2.26,35.72,90.98,2734.55,2153.2,78.74,11:52,0.5,23.3,1.3,-,-,-,-,0.95,-1.76,5.94,0.67,38.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
18,Sun Jan 18 2026 6:45:23 PM,1768761923,Cutter,N,-33.11,4.01,82.04,2568.89,1100.2,42.83,9:26,1,22.8,-15.6,-,-,-,-,2.32,-3.77,6.12,0.98,64.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
19,Sun Jan 18 2026 6:45:03 PM,1768761903,Cutter,N,-21.04,-20.43,83.01,1725.4,1610,93.31,10:40,0.5,10.2,-8,-,-,-,-,2.17,-4.57,6.08,1.22,-21.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
20,Sun Jan 18 2026 6:44:47 PM,1768761887,Splitter,N,-21.79,-3.17,91.71,2145.64,1953.5,91.05,1:08,0.5,-,6.5,-,-,-,-,3.17,-5.64,6.03,0.98,24.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
21,Sun Jan 18 2026 6:44:28 PM,1768761868,Splitter,N,9.35,-21.48,91.85,-,-,-,-,0,-,19.1,-,-,-,-,1.73,-6.35,5.92,1,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
22,Sun Jan 18 2026 6:44:12 PM,1768761852,Cutter,N,-18.5,11.11,85.5,2612.19,1129.2,43.23,9:02,1,26.9,-11.9,-,-,-,-,1.34,-3.53,6.16,0.85,64.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,EngerPaulino,high_intent,-
