Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Gilbert Saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 3:42:29 PM,1768750949,Fastball,Y,7.95,24.46,85.61,2104.42,2025.5,96.25,1:10,0.5,27.3,18,-,-,-,-,2.21,-2.65,6,1.42,15.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 3:42:08 PM,1768750928,Fastball,Y,-6.88,38.87,87.54,2134.06,2014.9,94.42,12:42,1,21.9,14.3,-,-,-,-,2.71,-1.13,5.99,0.96,19.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 3:41:51 PM,1768750911,Slider,N,-11.01,-10.37,77.89,1311.09,1291.4,98.5,1:24,1,25.3,10.7,-,-,-,-,2.94,-4.29,5.99,1.25,9.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 3:41:35 PM,1768750895,Slider,N,-7.57,-23.86,75.89,1818.81,513,28.21,10:42,1,10.1,-1.5,-,-,-,-,1.63,-4.47,6.35,1.21,73.62,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 3:41:08 PM,1768750868,Fastball,N,21.67,18.89,87.26,1912.45,1860.6,97.29,12:50,1,27.9,20.9,-,-,-,-,1.11,-3.16,6.05,1.22,13.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 3:40:52 PM,1768750852,Fastball,N,12.32,24.6,88.26,2018.27,1922.3,95.25,12:48,1,22.8,17.5,-,-,-,-,1.92,-2.31,6,1.54,17.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 3:40:15 PM,1768750815,Splitter,N,30.6,-19.23,79.64,-,-,-,-,0,16.5,12.7,-,-,-,-,-0.31,-3.98,5.74,1.17,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 3:39:57 PM,1768750797,Splitter,N,26.64,27.84,77.34,1266.88,1257,99.22,1:24,1,19,13.7,-,-,-,-,0.09,-0.61,5.86,1.17,7.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 3:39:36 PM,1768750776,Slider,Y,7.58,19.53,74.77,1951.22,968.3,49.62,7:42,1,2.9,-1.5,-,-,-,-,0.36,0.27,5.84,1.12,60.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 3:39:17 PM,1768750757,Fastball,N,21.24,33.73,87.42,2081.33,2039.7,98,12:50,1,21.5,13.2,-,-,-,-,0.67,-1.37,5.95,1.35,11.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
