Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Jack Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 7:24:12 PM,1768764252,Fastball,N,13.25,35.62,84.78,2047.13,1933.1,94.43,12:10,1,-,9.1,-,-,-,-,0.09,-2.23,6.32,0.43,19.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
2,Sun Jan 18 2026 7:23:57 PM,1768764237,ChangeUp,Y,-0.34,20.67,80.11,1616.35,1541.2,95.35,12:42,1,29.8,12.6,-,-,-,-,1.79,-2.86,6.25,0.75,17.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
3,Sun Jan 18 2026 7:23:41 PM,1768764221,Fastball,Y,-7,33.68,85.21,2177.85,2017.7,92.64,1:02,0.5,27.2,10.7,-,-,-,-,1.82,-2.02,6.22,0.35,22.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
4,Sun Jan 18 2026 7:23:24 PM,1768764204,ChangeUp,N,10.67,19.47,81.06,1711.75,1632.1,95.35,12:44,1,-,12.4,-,-,-,-,0.89,-3.59,6.01,0.72,17.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
5,Sun Jan 18 2026 7:23:01 PM,1768764181,ChangeUp,N,-10.32,7.16,80.08,1757.19,1631.7,92.86,12:52,0.5,-,6.9,-,-,-,-,2.05,-5.25,6.4,0.71,21.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
6,Sun Jan 18 2026 7:22:45 PM,1768764165,Slider,Y,-6.45,22.87,75.2,2343.92,1644.8,70.17,7:28,1,-5.7,-12.7,-,-,-,-,-0.07,1.13,6.12,0.45,45.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
7,Sun Jan 18 2026 7:22:25 PM,1768764145,Slider,Y,-6.37,27.19,75.66,2230.7,959.6,43.02,7:28,1,-6.5,-10.5,-,-,-,-,0.35,1.63,6.03,0.7,64.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
8,Sun Jan 18 2026 7:22:09 PM,1768764129,ChangeUp,Y,-1.21,19.87,79.33,1401.21,1327,94.71,12:40,1,-,8.2,-,-,-,-,1.45,-3.42,6.2,0.7,18.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
9,Sun Jan 18 2026 7:21:47 PM,1768764107,ChangeUp,N,4.04,-11.96,79.79,1469.97,1390.4,94.58,12:44,1,19.1,17.4,-,-,-,-,1.62,-4.45,6.38,0.55,18.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
10,Sun Jan 18 2026 7:21:28 PM,1768764088,ChangeUp,N,-10.93,-11.77,80.67,1573.45,1488.4,94.59,12:40,1,20.1,8.2,-,-,-,-,2.02,-4.53,6.35,0.47,18.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
11,Sun Jan 18 2026 7:21:08 PM,1768764068,Fastball,N,17.71,39.7,86.31,2083.41,1977.7,94.93,12:02,1,28,12,-,-,-,-,-0.29,-1.62,6.22,0.17,18.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
12,Sun Jan 18 2026 7:20:47 PM,1768764047,Fastball,Y,-4.07,19.72,85.99,2214.6,2096,94.64,12:10,1,-,8.5,-,-,-,-,1.24,-3.7,6.22,0.2,18.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
13,Sun Jan 18 2026 7:20:11 PM,1768764011,Fastball,N,14.67,56.32,85.36,2752.5,1922.7,69.85,12:00,0.5,27.4,10.3,-,-,-,-,0.02,-0.12,6.24,0.38,-45.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
14,Sun Jan 18 2026 7:19:46 PM,1768763986,Slider,N,-17.42,11.46,74.49,2224.09,1827.9,82.19,7:04,1,-11.2,-11.9,-,-,-,-,0.99,0.55,6.18,0.54,34.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
15,Sun Jan 18 2026 7:19:29 PM,1768763969,Slider,N,-2.84,15.58,74.8,2431.95,1383.7,56.89,6:48,1,-5.5,-12,-,-,-,-,0.05,0.53,6.11,0.81,55.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
16,Sun Jan 18 2026 7:19:12 PM,1768763952,Slider,Y,9.99,27.98,75.12,2408.25,1447.6,60.11,7:02,1,-6.5,-10.7,-,-,-,-,-1.13,1.58,6.1,0.58,53.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
17,Sun Jan 18 2026 7:18:56 PM,1768763936,Slider,Y,-8.73,24.91,75.62,2005.38,1208,60.24,6:50,1,-1,-9.2,-,-,-,-,0.83,0.87,6.09,0.88,52.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
18,Sun Jan 18 2026 7:18:39 PM,1768763919,Slider,N,-28.86,3.65,74.77,1198.7,358.7,29.92,7:12,1,-2.4,-13.1,-,-,-,-,1.9,-0.75,6.16,0.63,72.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
19,Sun Jan 18 2026 7:18:21 PM,1768763901,ChangeUp,Y,5.7,23.95,80.44,1432.49,1358.7,94.85,12:28,1,24.1,15.1,-,-,-,-,1.49,-2.07,6.11,0.73,18.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
20,Sun Jan 18 2026 7:18:04 PM,1768763884,ChangeUp,N,-14.15,18.47,79.77,1625.62,1521,93.56,12:40,1,-,7.9,-,-,-,-,2.6,-3.05,6.14,0.82,20.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
21,Sun Jan 18 2026 7:17:49 PM,1768763869,ChangeUp,N,-1.41,-0.04,80.73,1650.12,1565.8,94.89,12:40,1,20.4,15.1,-,-,-,-,2.1,-3.72,6.15,0.74,18.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
22,Sun Jan 18 2026 7:17:34 PM,1768763854,Fastball,N,6.11,43.49,85.15,2179.92,2077.5,95.3,12:08,1,25.9,10.6,-,-,-,-,0.8,-1.15,6.32,0.43,17.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
23,Sun Jan 18 2026 7:17:13 PM,1768763833,Fastball,N,10.91,31.28,84.41,2141.39,2035.7,95.07,12:08,1,29.4,7.4,-,-,-,-,0.29,-2.37,6.33,0.59,18.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
24,Sun Jan 18 2026 7:16:54 PM,1768763814,Fastball,N,-6.41,11.37,84.7,2118.3,1990,93.94,12:30,1,-,11.4,-,-,-,-,1.9,-5.97,6.67,0.49,20.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
25,Sun Jan 18 2026 7:16:38 PM,1768763798,Fastball,N,4.31,52.66,85.41,2672.81,2087.9,78.12,12:14,1,28.9,6.1,-,-,-,-,0.74,-0.55,6.28,0.59,-38.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
26,Sun Jan 18 2026 7:16:22 PM,1768763782,Fastball,Y,6.82,27.91,84.68,2138.34,2012.7,94.12,12:12,1,26.5,12.1,-,-,-,-,1.1,-2.39,6.29,0.68,19.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JackKelly,high_intent,-
