Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,James Capellupo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 5:48:17 PM,1768758497,Slider,N,-12.53,13.35,79.92,2153.78,757.2,35.16,9:04,1,11.6,-2,-,-,-,-,1.83,-1.26,5.88,1.03,69.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 5:48:00 PM,1768758480,Splitter,Y,5.58,23.3,81.91,1549.41,1402,90.49,12:02,0.5,27.8,11.7,-,-,-,-,1.44,-2.38,6.03,0.97,25.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 5:47:43 PM,1768758463,Splitter,N,25.01,24.05,82.26,1405.63,1339.4,95.29,12:10,1,26.1,12.1,-,-,-,-,0.25,-2.15,6.03,1.33,17.66,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 5:46:56 PM,1768758416,Cutter,N,-10.68,21.11,82.19,2150.13,1903.8,88.55,2:02,1,19.3,-2.2,-,-,-,-,1.76,-1.56,5.83,1.1,27.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 5:46:35 PM,1768758395,Cutter,N,-18.81,19.85,82.39,2241.3,1985.5,88.59,1:58,1,19.7,-4,-,-,-,-,2.5,-1.88,5.92,1.34,27.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 5:46:19 PM,1768758379,Slider,N,-15.66,20.72,79.52,2099.99,1098.1,52.29,9:06,1,15.3,-11.8,-,-,-,-,1.43,-1.07,6,1.16,58.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 5:46:02 PM,1768758362,Fastball,Y,1.89,40.17,86.69,2241.6,2038.5,90.94,12:02,1,23.1,5.5,-,-,-,-,1.56,-0.84,5.95,1.3,24.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 5:45:42 PM,1768758342,Splitter,N,17.03,40.11,80.79,1426.2,1339.3,93.9,12:38,1,19,13.2,-,-,-,-,0.84,0,5.95,1.17,20.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 5:45:25 PM,1768758325,Splitter,N,11.38,27.53,82.14,1481,1377.8,93.03,12:04,1,28.2,8.4,-,-,-,-,1.02,-2.05,5.86,1.29,21.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 5:45:08 PM,1768758308,Fastball,Y,8.48,28.63,86.22,2220.84,1999.4,90.03,12:10,1,22.9,11.6,-,-,-,-,1.46,-1.9,6.07,1.25,25.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sun Jan 18 2026 5:44:53 PM,1768758293,Slider,N,-18.15,18.47,77.03,1873.51,988.8,52.78,9:12,1,18,-13.8,-,-,-,-,1.46,-1.33,5.99,1.15,58.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sun Jan 18 2026 5:44:37 PM,1768758277,Slider,N,-19.66,8.41,79.38,2078.05,1230.4,59.21,9:08,1,21.6,-7.6,-,-,-,-,2.02,-2.53,6.09,1.13,53.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sun Jan 18 2026 5:44:22 PM,1768758262,Slider,Y,-5.18,30.66,80.06,2016.45,621.1,30.8,9:12,1,19.1,-0.6,-,-,-,-,1.48,-0.73,5.97,1.14,72.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sun Jan 18 2026 5:43:59 PM,1768758239,Fastball,N,34.8,24.77,85.87,2091.64,2074.6,99.19,1:36,0.5,19.5,18.9,-,-,-,-,0.15,-1.79,5.95,1.48,-7.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sun Jan 18 2026 5:43:42 PM,1768758222,Splitter,N,24.34,25.09,80.77,1454.95,1359.8,93.46,12:00,1,19.9,8.9,-,-,-,-,-0.26,-1.26,5.89,1.03,20.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sun Jan 18 2026 5:43:08 PM,1768758188,Splitter,N,16.36,36.66,81.82,1766.55,1640,92.83,12:28,0.5,24,12.4,-,-,-,-,0.82,-0.79,5.97,1.17,21.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Sun Jan 18 2026 5:42:50 PM,1768758170,Splitter,Y,5.84,18.52,82.31,1614.42,1522.3,94.29,12:50,0.5,28.1,13.9,-,-,-,-,1.94,-2.66,5.86,1.3,19.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
18,Sun Jan 18 2026 5:42:34 PM,1768758154,Splitter,N,44.43,52.37,82.56,-,-,-,-,0,20.4,11.7,-,-,-,-,-1.44,0.77,6.01,1.23,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
19,Sun Jan 18 2026 5:42:04 PM,1768758124,Cutter,N,-13.82,32.3,80.22,2162.29,719,33.25,9:14,0.5,18.3,-2.6,-,-,-,-,2.21,-0.45,5.87,1.33,70.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
20,Sun Jan 18 2026 5:41:50 PM,1768758110,Cutter,Y,1.79,37.14,79.93,2199.76,1954.6,88.86,1:58,1,18.6,-0.6,-,-,-,-,1.01,-0.03,5.87,1.23,27.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
21,Sun Jan 18 2026 5:41:28 PM,1768758088,Cutter,N,0.21,51.67,80.23,2250.58,746.2,33.16,9:18,1,14.8,-2.4,-,-,-,-,0.97,1.59,5.87,1.21,70.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
22,Sun Jan 18 2026 5:41:14 PM,1768758074,Slider,N,-5.29,14.27,78.48,2200.88,1193.7,54.24,9:42,1,16.3,-7.6,-,-,-,-,1,-1.52,6.01,1.24,57.16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
23,Sun Jan 18 2026 5:40:56 PM,1768758056,Slider,N,-20.53,15.65,77.46,2541.79,840.4,33.06,9:10,1,8.6,-7.8,-,-,-,-,1.98,-0.81,6.07,1.01,70.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
24,Sun Jan 18 2026 5:40:40 PM,1768758040,Slider,N,4.62,8.93,79.12,-,-,-,-,0,11.3,-2.6,-,-,-,-,0.61,-1.43,5.9,1.24,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
25,Sun Jan 18 2026 5:40:25 PM,1768758025,Fastball,Y,2.07,32.76,86.19,2134.82,2023.4,94.78,12:36,1,23.3,10.1,-,-,-,-,2.12,-1.34,5.9,1.51,18.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
26,Sun Jan 18 2026 5:37:08 PM,1768757828,Cutter,Y,-6.51,27.22,82.06,2185.8,1948.2,89.13,10:02,1,11.7,-7.5,-,-,-,-,1.17,-0.52,5.94,1.3,26.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
27,Sun Jan 18 2026 5:36:52 PM,1768757812,Cutter,Y,-3.01,20.78,82.41,2167.41,1932.5,89.16,1:56,1,13.1,-2,-,-,-,-,1.39,-1.27,5.94,1.36,26.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
28,Sun Jan 18 2026 5:36:26 PM,1768757786,Slider,N,-23.79,-13.93,78.44,2479.52,1231.9,49.68,7:46,1,5.2,-5.2,-,-,-,-,2.56,-2.87,6.21,1.15,60.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
29,Sun Jan 18 2026 5:36:12 PM,1768757772,Cutter,N,-11.97,14.83,79.6,2155.26,813,37.72,9:00,1,13.1,-6.8,-,-,-,-,1.55,-1.39,6.05,1.19,67.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
30,Sun Jan 18 2026 5:35:58 PM,1768757758,Cutter,N,-12.94,8.6,80.73,1972.68,1757.9,89.11,10:06,1,13.2,-6.3,-,-,-,-,1.63,-2.01,6.09,1.17,26.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
31,Sun Jan 18 2026 5:35:42 PM,1768757742,Cutter,N,-25.09,14.17,78.99,2326.61,1468.5,63.12,9:04,1,-,-13,-,-,-,-,2.17,-3.69,6.05,1.15,50.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
32,Sun Jan 18 2026 5:35:27 PM,1768757727,Fastball,N,-3.17,15.47,85.73,2276.56,2105.2,92.47,12:10,1,-,5.7,-,-,-,-,2.15,-3.71,6.09,1.52,22.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
33,Sun Jan 18 2026 5:35:04 PM,1768757704,Cutter,N,4.7,-9.85,80.22,2154.86,1920.7,89.13,1:56,1,11,-0.5,-,-,-,-,1,-3.58,6.19,1.5,26.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
34,Sun Jan 18 2026 5:34:48 PM,1768757688,Cutter,N,-19.64,-14.7,82.25,2214.71,1961.5,88.57,2:06,1,6.3,3.8,-,-,-,-,3.2,-3.34,6.12,1.44,27.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
35,Sun Jan 18 2026 5:33:48 PM,1768757628,Slider,N,5.04,4.54,79.32,2109.11,1889.5,89.59,2:10,1,19.8,1.2,-,-,-,-,0.71,-2.92,6.31,1.07,26.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
36,Sun Jan 18 2026 5:33:34 PM,1768757614,Slider,N,-12.3,-21.36,77.25,2270.54,805.2,35.46,9:14,1,15.5,-1.9,-,-,-,-,1.82,-6.55,5.98,0.82,69.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
37,Sun Jan 18 2026 5:33:13 PM,1768757593,Fastball,N,14.04,19.39,85.34,2075.18,1852.8,89.28,1:36,0.5,29.6,14,-,-,-,-,1.54,-2.93,5.98,1.61,-26.77,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
38,Sun Jan 18 2026 5:32:55 PM,1768757575,Fastball,N,2.48,47.93,86.82,2160.32,2073.1,95.96,12:16,0.5,24.5,9.2,-,-,-,-,1.76,-0.28,5.98,1.27,16.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
39,Sun Jan 18 2026 5:32:35 PM,1768757555,Fastball,N,21.94,45.1,88.34,2304.35,2149.2,93.27,12:04,1,22.5,8.7,-,-,-,-,0.27,-0.57,6.13,1.38,21.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
