Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Jaxon Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 6:32:49 PM,1768761169,Slider,N,12.2,-16.49,73.83,2407.03,974.8,40.5,3:10,1,-10.8,19.5,-,-,-,-,-0.95,-1.41,5.05,-1.49,-66.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
2,Sun Jan 18 2026 6:32:40 PM,1768761160,Fastball,N,-10.87,39.29,83.76,1898.2,1732,91.24,9:06,0.5,21.9,-20.7,-,-,-,-,-2.51,-0.11,5.43,-1.75,-24.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
3,Sun Jan 18 2026 6:32:18 PM,1768761138,Slider,N,51.49,5.17,75.56,2405.05,1120.4,46.59,1:54,0.5,25.2,21.2,-,-,-,-,-4.33,-3.55,5.34,-1.49,62.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
4,Sun Jan 18 2026 6:31:57 PM,1768761117,ChangeUp,N,-8.91,-6.9,78.22,1526.6,1454.7,95.29,10:10,1,14.3,-30.9,-,-,-,-,-3.56,-2.77,5.7,-1.89,-17.66,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
5,Sun Jan 18 2026 6:31:38 PM,1768761098,Slider,Y,8.58,22.57,75.54,2440.71,1266.1,51.87,2:52,1,28.4,3.9,-,-,-,-,-2.2,-1.32,5.76,-1.91,-58.75,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
6,Sun Jan 18 2026 6:31:23 PM,1768761083,ChangeUp,Y,8.95,23.61,78.32,-,-,-,-,0,22.5,-15.7,-,-,-,-,-3.93,-1.06,5.41,-1.98,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
7,Sun Jan 18 2026 6:31:07 PM,1768761067,Fastball,N,18.52,1.38,85.23,2294.21,2213,96.46,10:56,1,-,-10.6,-,-,-,-,-4.04,-5.16,6.01,-1.85,-15.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
8,Sun Jan 18 2026 6:30:47 PM,1768761047,Slider,N,15.42,-9.33,75.21,2472.23,1437.2,58.13,2:56,1,18.4,-0.3,-,-,-,-,-3.18,-3.02,5.85,-2.05,-54.46,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
9,Sun Jan 18 2026 6:30:25 PM,1768761025,Slider,N,44.66,22.68,75.11,2473.53,1395.5,56.42,2:44,1,-,26.2,-,-,-,-,-3.36,-4.35,5.55,-1.58,-55.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
10,Sun Jan 18 2026 6:30:04 PM,1768761004,Slider,N,12.87,9.31,76.16,2342.76,933.6,39.85,2:52,1,21.8,5.3,-,-,-,-,-2.35,-1.92,5.77,-1.85,-66.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
11,Sun Jan 18 2026 6:29:53 PM,1768760993,Fastball,Y,-8.62,36.8,85.38,2224.88,2148.6,96.57,10:34,1,23.2,-21.1,-,-,-,-,-2.69,-0.82,5.65,-1.73,-15.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JaxsonRoss,high_intent,-
