Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Joey Calabretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 6:04:58 PM,1768759498,Fastball,N,-14.87,38.03,89,2232.3,2020.7,90.52,12:08,1,24,5.7,-,-,-,-,3.25,-1.97,6.58,1.61,25.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 6:04:37 PM,1768759477,Fastball,N,-14.58,25.84,90.32,2265.99,2047.4,90.35,12:34,1,25.8,4.9,-,-,-,-,3.08,-3.3,6.65,1.56,25.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 6:04:14 PM,1768759454,Fastball,N,-16.13,18.93,89.71,2267.83,2034.8,89.73,12:04,1,-,4.3,-,-,-,-,3.22,-4.53,6.54,1.59,26.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 6:03:54 PM,1768759434,Fastball,N,-18.48,21.89,89.77,2329.6,2097.8,90.05,12:02,1,25.2,7,-,-,-,-,3.77,-3.29,6.54,1.79,25.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 6:03:17 PM,1768759397,Slider,Y,-9.5,20.19,79.23,1923.46,1204.9,62.64,7:30,0.5,4.7,-10.3,-,-,-,-,2.22,-0.4,6.02,2.37,51.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 6:03:01 PM,1768759381,Splitter,N,17.3,28.18,78.6,1452.22,1360.7,93.7,12:42,1,17.5,13.9,-,-,-,-,1.84,-0.86,6.09,2.15,20.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 6:02:42 PM,1768759362,Slider,Y,-7.08,19.55,80.1,2676.67,1961.8,73.29,7:36,1,4.3,-11.6,-,-,-,-,2.17,-0.62,6.14,2.63,42.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 6:02:23 PM,1768759343,Fastball,Y,3.09,37.68,87.71,2200.8,1996.5,90.72,12:32,1,23.6,13.4,-,-,-,-,2.77,-1.79,6.47,1.98,24.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 6:02:06 PM,1768759326,Slider,N,4.62,16.3,77.51,1141.58,1023.4,89.65,12:38,1,20.9,3,-,-,-,-,2.04,-2.04,6.21,2.24,26.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 6:01:46 PM,1768759306,Splitter,Y,7.57,20.62,78.4,1753.78,1593.6,90.87,7:58,1,-,-18.2,-,-,-,-,-0.56,3.36,5.34,1.57,24.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sun Jan 18 2026 6:01:25 PM,1768759285,Slider,N,-6.26,16.15,75.8,1251.5,1199.4,95.83,1:42,1,13.6,1.4,-,-,-,-,2.83,-2.19,6.04,1.99,16.6,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sun Jan 18 2026 6:00:57 PM,1768759257,Slider,N,-11.39,21.64,78.76,2324.1,1465.1,63.04,10:08,1,13.8,-2.9,-,-,-,-,3.48,-1.94,5.88,2.51,50.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sun Jan 18 2026 6:00:29 PM,1768759229,Slider,N,-25.79,7.47,79.91,2347.57,1270,54.1,10:20,1,19.1,-12.3,-,-,-,-,3.37,-2.82,6.37,2.43,57.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sun Jan 18 2026 6:00:10 PM,1768759210,Slider,N,-33.1,8,80.86,2783.15,1734.9,62.33,9:54,1,9.5,-15.7,-,-,-,-,3.81,-2.15,6.26,2.51,51.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sun Jan 18 2026 5:59:50 PM,1768759190,Fastball,Y,0.06,30.57,88.67,2176.01,1979.4,90.97,12:38,1,23.4,12,-,-,-,-,2.6,-2.48,6.39,1.63,24.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sun Jan 18 2026 5:59:29 PM,1768759169,Fastball,Y,8.4,23.36,89.68,2193.82,2058.5,93.83,12:36,1,-,11.4,-,-,-,-,1.74,-3.8,6.56,1.55,20.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Sun Jan 18 2026 5:59:06 PM,1768759146,Fastball,N,-12.69,12.44,89.01,2317.46,2113.5,91.2,12:34,1,21.7,10.9,-,-,-,-,3.6,-3.76,6.69,1.78,24.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
