Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Mark Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 5:28:39 PM,1768757319,Fastball,Y,1.92,34.23,84.19,1488.79,1462.5,98.23,11:32,1,21.3,-15.4,-,-,-,-,-1.64,-1.48,6.28,-0.21,-10.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 5:28:23 PM,1768757303,ChangeUp,N,-17.28,24.62,77.31,1236.49,1236,99.96,10:24,0.5,23,-12.4,-,-,-,-,-0.11,-2.4,5.97,-0.5,-1.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 5:28:05 PM,1768757285,Fastball,Y,1.96,25.8,83.04,1629.47,1623.8,99.65,11:22,1,22.4,-11.4,-,-,-,-,-1.4,-2.11,6.23,-0.31,-4.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 5:27:48 PM,1768757268,Slider,N,29.55,17.23,73.64,1940.34,1111.2,57.27,2:22,1,7,5.3,-,-,-,-,-2.87,-1.37,6.02,-0.65,-55.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 5:27:31 PM,1768757251,Slider,N,1.35,7.08,73.71,1881.35,809,43,1:52,1,7.1,-2.4,-,-,-,-,-1.43,-0.73,5.86,-1.17,-64.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 5:27:13 PM,1768757233,ChangeUp,N,-0.09,11.75,77.82,2628.93,1022.3,38.89,9:02,0.5,-,-15.8,-,-,-,-,-1.76,-3.9,6.28,-0.49,-67.12,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 5:26:56 PM,1768757216,Fastball,N,-5.19,45,84.48,1499.16,1494.7,99.7,11:32,1,19,-15.1,-,-,-,-,-1.41,-0.06,6.03,-0.59,-4.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 5:26:31 PM,1768757191,ChangeUp,N,15.17,5.49,74.49,1878.7,786.7,41.87,2:10,1,10.6,2.9,-,-,-,-,-2,-2.01,5.59,-0.83,-65.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 5:26:17 PM,1768757177,ChangeUp,N,2.71,10.85,74.64,1734.28,686.1,39.56,1:52,1,5.9,0.3,-,-,-,-,-1.08,-0.49,5.81,-0.89,-66.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 5:26:00 PM,1768757160,ChangeUp,N,-11.63,26.26,78.53,1537.07,1517.8,98.75,10:08,0.5,21.5,-17.4,-,-,-,-,-1.01,-1.41,6.2,-0.55,-9.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sun Jan 18 2026 5:25:42 PM,1768757142,ChangeUp,N,-11.71,15.87,79.09,1639.36,1629.8,99.41,10:28,1,26.6,-18.6,-,-,-,-,-1.13,-2.63,6.18,-0.59,-6.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sun Jan 18 2026 5:25:23 PM,1768757123,Fastball,N,10.04,37.03,85.1,1707.77,1671.3,97.86,11:28,1,19.2,-12.4,-,-,-,-,-2.47,-0.97,6.15,-0.64,-11.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sun Jan 18 2026 5:24:57 PM,1768757097,Slider,N,24.3,10.68,74.94,1781.55,742.5,41.67,1:54,1,9.1,5.6,-,-,-,-,-2.53,-0.82,5.9,-1.07,-65.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sun Jan 18 2026 5:24:41 PM,1768757081,ChangeUp,Y,0.11,21.76,75.15,1731.15,555.8,32.11,2:46,1,-0.5,-0.8,-,-,-,-,-1.07,1.03,5.7,-1.02,-71.27,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sun Jan 18 2026 5:24:24 PM,1768757064,ChangeUp,N,-9.59,13.76,80.13,1577.91,1575.2,99.83,10:06,0.5,17.1,-17.6,-,-,-,-,-1.16,-2.17,6.16,-0.51,-3.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sun Jan 18 2026 5:24:05 PM,1768757045,Fastball,Y,-5.66,32.75,85.01,1893.13,1884.8,99.56,11:26,1,23.4,-11.3,-,-,-,-,-0.88,-1.6,6.12,-0.42,-5.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Sun Jan 18 2026 5:23:41 PM,1768757021,Slider,N,34.37,5.75,76.26,1910.54,1688.5,88.38,1:56,1,11.7,6.8,-,-,-,-,-3.15,-1.65,5.95,-0.98,-27.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
18,Sun Jan 18 2026 5:23:22 PM,1768757002,Slider,N,26.91,9.08,76.03,2853.07,2786.1,97.65,9:32,1,8.6,4.2,-,-,-,-,-2.67,-1.22,5.99,-0.88,12.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
19,Sun Jan 18 2026 5:23:06 PM,1768756986,ChangeUp,Y,4.63,18.72,79.67,1294.23,1289.8,99.66,11:22,0.5,27.1,-14.3,-,-,-,-,-1.89,-2.74,6.24,-0.37,-4.75,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
20,Sun Jan 18 2026 5:22:47 PM,1768756967,Fastball,N,0.75,45.38,85.55,1627.22,1613.9,99.18,11:12,1,20,-12.3,-,-,-,-,-1.41,-0.38,6.21,-0.34,-7.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
21,Sun Jan 18 2026 5:22:27 PM,1768756947,Fastball,N,-5.77,46.98,85.54,1891.35,1450.9,76.71,10:34,0.5,24.6,-9.6,-,-,-,-,-0.79,-0.74,6.28,-0.49,39.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
22,Sun Jan 18 2026 5:22:02 PM,1768756922,ChangeUp,N,-4.87,-21.15,79.28,1754.98,1735,98.86,10:34,1,12.2,-20.2,-,-,-,-,-1.84,-4.32,6.34,-0.65,-8.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
23,Sun Jan 18 2026 5:21:45 PM,1768756905,ChangeUp,N,17.75,20.14,79.53,1526.67,1525.7,99.94,10:30,0.5,23.7,-6.9,-,-,-,-,-2.4,-2.13,6.12,-0.41,-2.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
