Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Nolan Feidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 4:58:48 PM,1768755528,Fastball,Y,-0.42,29.93,91.1,2387.1,2321.5,97.25,9:50,0.5,9.9,-23.6,-,-,-,-,-4.42,0,5.1,-2.69,-13.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 4:58:31 PM,1768755511,TwoSeamFastball,Y,-1.91,21.16,90.93,2400.96,2361.8,98.37,9:50,1,15.4,-26.9,-,-,-,-,-4.68,-1.3,5.09,-2.82,-10.36,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 4:58:16 PM,1768755496,Slider,N,-2.75,16.17,74.92,2355.95,1234.8,52.41,2:58,1,5.8,2.6,-,-,-,-,-2.42,0.96,4.82,-3,-58.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 4:58:00 PM,1768755480,Slider,N,-10.97,29.58,75.49,2371.89,2218.1,93.51,9:52,1,4.1,3.6,-,-,-,-,-1.73,2.07,4.75,-3.03,-20.75,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 4:57:43 PM,1768755463,Slider,N,49.06,-14.88,79.2,-,-,-,-,0,5.5,9,-,-,-,-,-5.79,-1.71,5.13,-2.78,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 4:57:27 PM,1768755447,Slider,Y,2.86,21.93,79.54,2388.63,2121.1,88.8,1:58,1,7.4,-0.9,-,-,-,-,-3.06,0.49,5.01,-2.89,-27.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 4:57:12 PM,1768755432,TwoSeamFastball,Y,2.95,32.6,90.99,2306.26,2215.4,96.06,10:02,1,13.5,-25.2,-,-,-,-,-4.99,0.04,4.93,-2.9,-16.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 4:56:57 PM,1768755417,ChangeUp,N,14.51,21.92,82.97,1862.55,1478.1,79.36,9:06,1,16.5,-21.6,-,-,-,-,-5.58,-0.5,4.86,-2.87,-37.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 4:56:41 PM,1768755401,ChangeUp,N,-26.98,27.64,84.62,1772.15,1103.3,62.26,9:36,1,6.9,-23.4,-,-,-,-,-2.6,0.8,4.74,-3.04,-51.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 4:56:04 PM,1768755364,Fastball,Y,2.39,25.09,88.76,2277.01,2220.2,97.5,9:52,0.5,18.9,-21.1,-,-,-,-,-4.51,-0.95,4.98,-2.76,-12.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
