Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Owen Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 7:06:14 PM,1768763174,Fastball,N,-9.87,42.27,85.37,2281.94,2164.4,94.85,12:42,0.5,21.6,11.3,-,-,-,-,2.94,-1.33,5.92,0.96,18.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
2,Sun Jan 18 2026 7:05:58 PM,1768763158,Fastball,Y,3.95,31.01,86.18,2142.09,2035,95,12:44,0.5,24.2,19,-,-,-,-,2.46,-2.03,6.06,1.23,18.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
3,Sun Jan 18 2026 7:05:45 PM,1768763145,Fastball,N,15.53,43.42,86.31,2390.44,2344.5,98.08,12:48,1,25.5,14.6,-,-,-,-,1.34,-1.12,6.01,1.4,11.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
4,Sun Jan 18 2026 7:05:29 PM,1768763129,ChangeUp,N,-7.62,0.37,79.32,1687,1570.8,93.11,1:26,1,17.2,15.1,-,-,-,-,3.54,-3.55,6,1.61,21.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
5,Sun Jan 18 2026 7:04:58 PM,1768763098,ChangeUp,N,10.53,27.22,77.42,1620.62,1485.3,91.65,1:22,1,-,29.5,-,-,-,-,3.48,-6.66,5.91,1.65,23.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
6,Sun Jan 18 2026 7:04:41 PM,1768763081,Slider,Y,-3.14,20.55,78.91,2017.49,625.2,30.99,11:24,1,6.9,2.2,-,-,-,-,2.27,-0.4,5.79,1.88,71.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
7,Sun Jan 18 2026 7:04:00 PM,1768763040,Slider,N,-9.21,-13.23,79.71,1797.66,1672.2,93.02,1:18,1,26.7,14.2,-,-,-,-,3.42,-5.16,6.3,1.59,21.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
8,Sun Jan 18 2026 7:03:44 PM,1768763024,Fastball,Y,-5.4,31.38,85.41,2154.53,2086.6,96.85,12:50,1,27.1,13.7,-,-,-,-,2.89,-2.09,6.03,1.32,14.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
9,Sun Jan 18 2026 7:03:30 PM,1768763010,Fastball,N,16.36,48.9,87.35,2249.32,2220.1,98.7,12:20,0.5,28.6,12.1,-,-,-,-,0.62,-0.92,6.1,0.99,9.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
10,Sun Jan 18 2026 7:03:16 PM,1768762996,Slider,N,-31.28,12.89,75.96,2153.98,1077.2,50.01,10:38,1,8.5,-9,-,-,-,-,3.81,-1.73,5.82,1.72,59.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,OwenSmith,high_intent,-
