Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Ryan Klementowksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 4:38:41 PM,1768754321,Fastball,N,17.73,21.22,83.09,1739.76,1674.7,96.26,1:40,1,15.2,24.1,-,-,-,-,2.63,-1.12,5.49,2.22,15.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 4:38:28 PM,1768754308,Fastball,Y,4.48,36.89,84.03,-,-,-,-,0,9.7,25.5,-,-,-,-,3.8,0.65,5.41,2.11,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 4:38:03 PM,1768754283,Slider,-,0,0,78.62,-,-,-,-,0,-,-,-,-,-,-,15.02,-3.06,5.76,0.46,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 4:37:51 PM,1768754271,Fastball,N,-6.15,9.12,83.18,1958.05,1924.2,98.27,1:42,1,29.9,26.3,-,-,-,-,4.7,-3.43,5.78,2.23,10.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 4:37:33 PM,1768754253,Slider,N,12.69,16.84,66.99,2226.25,1844.4,82.85,7:36,1,-11.5,-13.8,-,-,-,-,0.2,1.31,5.54,2.39,34.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 4:37:20 PM,1768754240,Slider,N,-33.21,4.74,72.06,2136.81,1629.7,76.27,7:36,1,4,-19,-,-,-,-,3.24,-0.05,5.68,2.21,40.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 4:37:11 PM,1768754231,Slider,Y,-6.04,30.73,72.54,2167.03,1513,69.82,7:34,1,-1.1,-21.2,-,-,-,-,0.85,2.48,5.51,2.15,45.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 4:36:53 PM,1768754213,Fastball,N,-0.97,45.32,82.55,1847.24,1791.4,96.98,1:44,1,16.5,18,-,-,-,-,3.57,0.04,5.64,1.74,14.12,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 4:36:36 PM,1768754196,ChangeUp,N,-12.08,16.48,77.2,1803.07,1790.4,99.3,2:50,1,-,20.8,-,-,-,-,4.63,-3.84,5.39,1.92,6.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 4:36:22 PM,1768754182,ChangeUp,Y,3.27,20.23,75.75,1717.64,1177.7,68.57,2:28,1,20,24.5,-,-,-,-,3.89,-1.93,5.38,1.84,46.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sun Jan 18 2026 4:36:08 PM,1768754168,ChangeUp,N,5.59,4.84,76.39,1765.99,1636.5,92.67,2:30,1,18.7,25.6,-,-,-,-,3.89,-3.05,5.46,1.93,22.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sun Jan 18 2026 4:35:55 PM,1768754155,Fastball,N,19.32,33.79,82.97,1817.69,1753.2,96.45,1:44,1,11.2,30.9,-,-,-,-,3.18,0.26,5.53,2.32,15.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sun Jan 18 2026 4:35:39 PM,1768754139,Fastball,N,-18.49,19.55,83.54,1989.5,1946.7,97.85,2:04,1,21.3,23.5,-,-,-,-,5.48,-1.64,5.49,2.22,11.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
