Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Ryan Kucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 4:04:22 PM,1768752262,Fastball,Y,7.07,20.04,83,2162.3,1225.4,56.67,3:56,1,-5.9,28.5,-,-,-,-,5,2.05,4.08,3.51,55.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 4:04:05 PM,1768752245,Fastball,Y,5.74,21.72,82.54,1449.84,1252.1,86.36,1:08,1,9.7,29.4,-,-,-,-,5.22,0.7,4.29,3.58,-30.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 4:03:44 PM,1768752224,Fastball,N,12.32,22.64,82.3,2066.79,1310.2,63.39,3:48,1,3,26.9,-,-,-,-,4.49,1.52,4.18,3.57,50.66,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 4:03:24 PM,1768752204,Fastball,N,35.59,3.07,83.15,2127.13,1223.9,57.54,2:36,0.5,4.5,31.4,-,-,-,-,2.94,0.31,4.09,3.44,-54.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 4:03:10 PM,1768752190,Slider,N,9.59,13.31,73.12,2689.76,1717.5,63.85,8:02,1,-0.5,-8.4,-,-,-,-,1.79,1.73,4.72,3.39,50.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 4:02:55 PM,1768752175,Slider,N,-15.72,6.74,74.18,2239.67,1694.8,75.67,8:00,1,-6.5,-6.6,-,-,-,-,4.1,1.09,4.77,3.37,-40.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 4:02:32 PM,1768752152,Fastball,N,45.22,14.15,82.52,-,-,-,-,0,-3.4,-,-,-,-,-,2.77,2.07,3.87,3.49,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 4:02:18 PM,1768752138,Fastball,Y,5.9,25.89,81.98,2175.55,1333.2,61.28,3:18,1,4.7,28.3,-,-,-,-,5.03,1.75,4.07,3.48,52.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 4:02:03 PM,1768752123,ChangeUp,N,-7.57,17.54,75.02,1862.62,868.7,46.64,1:16,1,15.2,15.8,-,-,-,-,5.12,0.66,4.33,3.46,62.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 4:01:46 PM,1768752106,ChangeUp,N,-14.59,20.32,75.39,1566.82,1493.4,95.31,4:44,1,5.1,14.9,-,-,-,-,5.48,1.88,4.18,3.33,-17.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
