Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Tom Wilkie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 3:34:49 PM,1768750489,Fastball,N,-5.7,17.38,84.85,2123.1,2033.6,95.78,10:16,1,21.9,-20.3,-,-,-,-,-2.37,-2.3,5.91,-1.26,-16.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 3:34:32 PM,1768750472,CurveBall,N,39.9,-9.22,71.9,2210.13,1384.9,62.66,3:22,1,1.5,17.4,-,-,-,-,-2.87,-1.98,6.14,-1.17,-51.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 3:34:18 PM,1768750458,Fastball,N,-4.32,9.83,85.09,2279.28,2170,95.2,10:18,1,-,-21.9,-,-,-,-,-2.68,-4.29,6.17,-1.36,-17.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 3:33:56 PM,1768750436,Fastball,N,-39.87,20.96,85.74,2165.98,2138.9,98.75,9:56,1,15.4,-25.6,-,-,-,-,-0.28,-1.51,5.88,-1.49,-9.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 3:33:43 PM,1768750423,CurveBall,N,7.65,13.08,73.93,2221.03,1300.7,58.56,3:10,1,-1.4,9.5,-,-,-,-,-1.09,0.47,5.83,-1.29,-54.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 3:33:28 PM,1768750408,Fastball,N,-8.47,-9.56,84.89,2126.16,2087.6,98.18,10:14,1,29.7,-24.7,-,-,-,-,-2.46,-5.17,6.34,-1.27,-10.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 3:33:12 PM,1768750392,Fastball,N,-21.89,43.31,84.05,2147.37,2003.6,93.31,10:30,1,11,-20.1,-,-,-,-,-1.21,0.89,5.71,-1.41,-21.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 3:32:59 PM,1768750379,Fastball,N,-7.34,13.81,85.86,2637.64,2150.7,81.54,10:12,1,17,-20.5,-,-,-,-,-2.29,-2.13,5.87,-1.3,35.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 3:32:48 PM,1768750368,CurveBall,N,27.24,17.74,72.37,2638.47,2634.1,99.83,3:30,1,2.9,9.8,-,-,-,-,-2.44,-0.67,5.9,-0.8,-3.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 3:32:32 PM,1768750352,Fastball,N,-5.65,5.14,85.6,2244.39,2206.7,98.32,10:04,1,12.9,-19.2,-,-,-,-,-2.52,-3.52,5.68,-1.25,-10.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
