Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Tristan Ciampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 3:15:09 PM,1768749309,Fastball,N,16.55,22.5,88.39,1984.77,1799.2,90.65,12:50,1,24.7,19.9,-,-,-,-,1.37,-2.16,5.55,1.15,24.97,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 3:14:55 PM,1768749295,TwoSeamFastball,N,-14.92,15.82,87.91,1759.72,1628.2,92.53,1:38,1,17.1,17.3,-,-,-,-,3.66,-2.08,5.53,1.13,22.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 3:14:24 PM,1768749264,TwoSeamFastball,Y,-0.98,19.58,89.15,1775.11,1628.5,91.74,2:06,0.5,-,19.5,-,-,-,-,2.51,-3.16,5.68,0.91,-23.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 3:14:01 PM,1768749241,TwoSeamFastball,N,16.92,21.69,87.91,1852.53,1699.1,91.72,12:42,1,23,21.3,-,-,-,-,1.45,-2.03,5.54,1.16,23.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 3:13:46 PM,1768749226,Fastball,N,-11.59,24.96,88.72,2095.18,1883.2,89.88,12:48,1,24.8,9,-,-,-,-,2.68,-2.15,5.55,1.04,26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 3:13:29 PM,1768749209,ChangeUp,N,14.1,17.8,82.26,1463.53,1361.8,93.05,1:28,1,9.7,22.4,-,-,-,-,1.84,-0.92,5.57,1.22,21.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 3:13:15 PM,1768749195,Slider,N,-3.31,17.91,78.42,2093.15,1516.6,72.46,7:30,1,2.5,-9.3,-,-,-,-,0.51,0.13,5.63,1.03,43.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 3:12:58 PM,1768749178,Slider,N,-26.16,-10.97,81.95,2267.27,1141,50.33,7:44,1,1.9,-9,-,-,-,-,2.19,-2.33,5.6,0.87,59.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 3:12:44 PM,1768749164,Slider,N,-20.96,23.24,81.47,2288.53,1360.7,59.46,7:56,1,5.3,-9,-,-,-,-,1.82,0.14,5.5,0.91,53.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 3:12:28 PM,1768749148,Fastball,Y,-6.45,33.1,88.82,2296.87,2047.1,89.12,1:16,0.5,18.1,16.6,-,-,-,-,2.73,-0.75,5.46,0.89,26.97,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sun Jan 18 2026 3:12:07 PM,1768749127,ChangeUp,N,19.27,22.38,82.39,1639.05,1533.8,93.58,1:32,1,18.7,22.3,-,-,-,-,1.56,-1.2,5.33,1.34,20.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sun Jan 18 2026 3:11:37 PM,1768749097,ChangeUp,N,11.79,27.05,81.72,1562.15,1416.6,90.68,2:04,0.5,16.3,21.1,-,-,-,-,1.82,-0.48,5.4,1.12,-24.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
