Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Ty Corey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Jan 18 2026 7:36:21 PM,1768764981,Fastball,N,-15.46,22.24,81.49,1798.58,1787.3,99.37,10:56,1,24.9,-17.3,-,-,-,-,-1.9,-2.1,5.71,-1.77,-6.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Sun Jan 18 2026 7:36:07 PM,1768764967,Slider,Y,-8.56,23.14,67.87,1866.94,1405.1,75.26,2:26,1,7,8.1,-,-,-,-,-0.41,0.57,5.59,-1.77,-41.18,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Sun Jan 18 2026 7:35:51 PM,1768764951,Slider,N,24.46,-3.4,69.03,1833.09,1123.7,61.3,2:56,1,-2.3,9.3,-,-,-,-,-2.93,-0.53,5.32,-1.46,-52.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sun Jan 18 2026 7:35:35 PM,1768764935,Fastball,Y,8.04,22.78,77.24,1769.21,1663,93.99,10:24,0.5,25.2,-18.6,-,-,-,-,-4.07,-1.41,5.48,-1.88,19.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sun Jan 18 2026 7:35:14 PM,1768764914,ChangeUp,N,-39.79,51.37,74.94,1694.21,1693.8,99.97,9:30,1,17,-26.2,-,-,-,-,-0.73,2.09,5.34,-1.87,1.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sun Jan 18 2026 7:34:57 PM,1768764897,ChangeUp,Y,-9.54,21.1,76.34,1924.89,1899,98.66,9:50,1,11.2,-20.5,-,-,-,-,-2.82,-0.06,5.36,-1.95,-9.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sun Jan 18 2026 7:34:40 PM,1768764880,Fastball,N,10.02,17.78,81.02,1794.49,1779.7,99.18,10:38,1,-,-10.9,-,-,-,-,-3.24,-3.3,5.74,-1.55,-7.36,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sun Jan 18 2026 7:34:25 PM,1768764865,Fastball,Y,4.81,22.92,80.01,1559.16,1546.7,99.2,11:46,1,18.3,-17,-,-,-,-,-3.6,-1.73,5.37,-1.52,-7.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sun Jan 18 2026 7:34:04 PM,1768764844,Fastball,N,-1.58,-24.3,78.59,1522.17,1521.9,99.98,10:44,0.5,-6.9,-16.7,-,-,-,-,-3,-7.96,5.84,-1.52,-1.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sun Jan 18 2026 7:33:48 PM,1768764828,Slider,N,28.32,0.76,66.96,1704.93,1370.7,80.39,2:50,1,15.1,24.7,-,-,-,-,-1.99,-0.84,5.7,-1.75,-36.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
